iter	RMSE
0	0.5860366242
1	0.5519189726
2	0.5186160205
3	0.4896757728
4	0.4611204612
5	0.4339497225
6	0.4098232081
7	0.3892574038
8	0.3704640029
9	0.3530503253
10	0.3364684302
11	0.3233976783
12	0.3075839911
13	0.2963990326
14	0.2845483445
15	0.2748374707
16	0.2659287708
17	0.2569962081
18	0.2458004292
19	0.2367968102
20	0.2304352973
21	0.2244781988
22	0.2180868523
23	0.2133811209
24	0.2085822741
25	0.2033159233
26	0.1991386635
27	0.1943961114
28	0.1911400075
29	0.1865024459
30	0.1819527019
31	0.1781026183
32	0.1720491264
33	0.1670359428
34	0.1645476143
35	0.1609225652
36	0.1583486003
37	0.153779934
38	0.1492385412
39	0.1462764976
40	0.1435850709
41	0.1411170178
42	0.1397694008
43	0.1362267241
44	0.1332921171
45	0.1306543849
46	0.1281735724
47	0.1251268304
48	0.1228405862
49	0.1198665533
50	0.1177643683
51	0.114837974
52	0.1129668591
53	0.1112153168
54	0.109441496
55	0.1082246405
56	0.1066645713
57	0.104928733
58	0.1034905809
59	0.1020168288
60	0.1004613598
61	0.09944811816
62	0.09833598531
63	0.09755807211
64	0.09656086484
65	0.09493451997
66	0.09273580055
67	0.09120839403
68	0.08977938328
69	0.08929000472
70	0.08767866034
71	0.08596294897
72	0.0852609217
73	0.08471170688
74	0.08381024003
75	0.08304897839
76	0.08217290914
77	0.08151103421
78	0.08007427922
79	0.07936168985
80	0.07877955296
81	0.07827466318
82	0.07772947665
83	0.07719251761
84	0.07616890109
85	0.07532926067
86	0.07482279668
87	0.07422469463
88	0.07366642219
89	0.07268778096
90	0.07221360275
91	0.0708247288
92	0.07008235909
93	0.06928966743
94	0.06823620959
95	0.0677331658
96	0.06675573891
97	0.06608980634
98	0.06581703359
99	0.0649384835
100	0.06388306852
101	0.06320190794
102	0.06272059782
103	0.06199960599
104	0.061081687
105	0.06066772451
106	0.06012885067
107	0.0596729221
108	0.05920298632
109	0.05869042626
110	0.05831713293
111	0.05789836811
112	0.05740388758
113	0.05695299427
114	0.05655918227
115	0.05625022937
116	0.05565993572
117	0.05525899969
118	0.05473184205
119	0.05441804077
120	0.05407274421
121	0.05382010316
122	0.05346135839
123	0.05274182278
124	0.0523574216
125	0.05194726924
126	0.051628934
127	0.05130315619
128	0.05088729777
129	0.05025817975
130	0.04979638961
131	0.04944436351
132	0.04916267271
133	0.04882848283
134	0.04852837423
135	0.0479468223
136	0.04766417988
137	0.04743876663
138	0.04701137943
139	0.04682806834
140	0.0465562137
141	0.04624915246
142	0.04591493408
143	0.04574702767
144	0.04552545245
145	0.04522389132
146	0.04481371857
147	0.04458812528
148	0.04434873353
149	0.04408942012
